지역,살인_발생,살인_검거,강도_발생,강도_검거,강간_발생,강간_검거,절도_발생,절도_검거,폭력_발생,폭력_검거
강남,6,6,13,16,456,366,2069,787,2229,1942
강동,5,6,10,12,172,169,1645,949,2429,2109
강북,8,8,7,5,208,153,1014,635,2156,2023
강서,11,11,4,6,316,253,1888,1113,2916,2544
관악,8,7,7,6,379,323,1979,1152,3152,2666
광진,6,5,13,8,261,208,2220,1168,2146,1900
구로,7,8,8,6,328,181,1725,869,2827,2344
금천,5,5,5,5,240,212,1141,674,1874,1676
남대문,1,0,3,3,94,62,785,400,863,780
노원,4,4,9,7,180,155,1538,757,2478,2124
도봉,1,1,3,3,104,115,633,417,1258,1116
동대문,11,10,3,5,165,149,1547,1017,2249,2093
동작,1,1,7,9,396,173,1226,593,1700,1466
마포,3,3,8,8,500,429,2094,837,2673,2222
방배,1,2,4,5,65,60,364,176,515,466
서대문,4,4,1,2,202,181,1230,719,1676,1393
서부,3,3,2,2,93,79,553,375,904,844
서초,8,8,9,2,405,223,1448,659,1889,1636
성동,1,1,3,3,132,106,1072,543,1559,1378
성북,5,5,5,5,107,72,701,332,1005,855
송파,6,6,1,3,288,242,2274,1026,3007,2593
수서,1,1,7,8,151,130,1061,596,1727,1469
양천,3,2,3,2,138,122,1590,756,2148,1778
영등포,15,13,5,5,455,267,2304,1108,3190,2619
용산,1,1,5,4,327,289,1346,626,2381,2016
은평,3,3,2,2,137,134,834,559,1352,1206
종로,5,3,5,4,131,103,910,360,1220,1059
종암,2,2,3,3,66,62,643,371,897,772
중구,0,0,6,6,173,87,1061,489,1198,1024
중랑,5,5,3,4,172,144,1533,813,2858,2426
혜화,2,2,5,4,122,70,734,298,923,778
계,142,136,169,163,6963,5319,41162,21174,59399,51317
