구별,소계,2014년 이전,2015년,2016년,총인구,남자,여자,여성비율,남성비율,CCTV비율,오차
강남구,3983,2453,760,770,534889,255825,279064,52.17231986449525,47.82768013550475,0.7446404768092071,2103.0910987963443
강동구,1483,1101,142,240,434929,215750,219179,50.39420227209499,49.60579772790501,0.3409751936522973,294.6323511227681
강북구,946,542,147,257,317889,155222,162667,51.17100623173497,48.82899376826502,0.297588151839164,711.8799759580318
강서구,1031,686,177,168,573224,279188,294036,51.295130699342664,48.704869300657336,0.1798598802562349,888.1323060390978
관악구,2862,1917,593,352,519316,262029,257287,49.54343790678507,50.45656209321492,0.5511095363901748,998.024999500723
광진구,1191,1110,62,19,366874,179714,187160,51.01478981884788,48.98521018115211,0.32463461569912283,517.0001921016119
구로구,2205,1623,256,326,442766,221683,221083,49.93224411991887,50.06775588008112,0.4980057185962788,419.34902819912145
금천구,1427,1013,305,109,248820,126922,121898,48.99043485250382,51.00956514749618,0.5735069528172977,160.21031771936828
노원구,1466,707,461,298,560350,272790,287560,51.31792629606496,48.68207370393504,0.26162220041045775,439.9599540408849
도봉구,816,665,49,102,339015,165613,173402,51.148769228500214,48.851230771499786,0.2406973142781293,863.4955661642025
동대문구,1419,1075,111,233,361834,179781,182053,50.31395612352626,49.68604387647374,0.3921687845807746,283.84339125719725
동작구,1539,1122,103,314,408043,200452,207591,50.87478525547553,49.12521474452448,0.377166132000794,211.12327423726651
마포구,1401,903,164,334,376613,180104,196509,52.177965179109584,47.82203482089041,0.37199990441115943,316.9648911936263
서대문구,2297,1922,109,266,318355,152405,165950,52.12734211807574,47.87265788192427,0.7215215718301896,638.643224598814
서초구,1590,492,624,474,418215,200470,217745,52.06532525136593,47.93467474863407,0.3801872242745956,170.53100800500147
성동구,2249,2112,98,39,294822,146124,148698,50.43653458697113,49.56346541302888,0.7628331671313539,614.721596478101
성북구,1983,1363,263,357,452601,219462,233139,51.51093347120311,48.48906652879689,0.43813425069763434,187.2861043291182
송파구,1101,889,124,88,627130,305151,321979,51.34166759683,48.65833240316999,0.1755616857748792,873.2875652293769
양천구,2381,1865,178,338,462973,228471,234502,50.651333879081506,49.3486661209185,0.5142848503044455,574.6737356072399
영등포구,1528,1071,209,248,403389,202385,201004,49.82882527783355,50.17117472216645,0.37879069582958386,217.3614188543488
용산구,2321,2168,76,77,225202,108895,116307,51.64563369774691,48.35436630225309,1.0306302785943287,757.9550240154297
은평구,2262,1694,210,358,474795,230686,244109,51.41355743004876,48.586442569951245,0.47641613749091716,443.57776346782157
종로구,1783,1491,163,129,159940,78731,81209,50.77466549956233,49.22533450043766,1.1147930473927723,286.72945590197287
중구,1140,826,191,123,127482,62620,64862,50.87933982836793,49.120660171632075,0.8942438932555185,323.06033739008967
중랑구,992,815,102,75,402615,199606,203009,50.422612172919536,49.57738782708046,0.24638923040621935,752.5694815818138
