구별,소계,2014년 이전,2015년,2016년,2017년,최근증가율,총인구,남자,여자,여성비율,남성비율,CCTV비율,오차
강남구,4758,2453,760,770,775,93.96657154504689,526484,251967,274517,52.14156555564842,47.85843444435158,0.903731167518861,2629.2354678461406
강동구,1493,1101,142,240,10,35.60399636693914,432865,214557,218308,50.43327596363763,49.56672403636237,0.3449112309842561,510.7257376040402
강북구,946,542,147,257,-,74.53874538745387,315394,153621,161773,51.29235178855653,48.70764821144347,0.2999422944000203,900.829891306154
강서구,1202,686,177,168,171,75.21865889212827,581900,283104,298796,51.348341639456955,48.651658360543045,0.20656470183880393,1000.7788864918975
관악구,3223,1917,593,352,361,68.12728221178925,515363,259699,255664,49.60852835768187,50.39147164231813,0.6253844377652257,1109.088824901744
광진구,1228,1110,62,19,37,10.63063063063063,364924,178445,186479,51.10077714811852,48.89922285188148,0.33650842367177825,684.9828249419816
구로구,2746,1623,256,326,541,69.1928527418361,436366,218208,218158,49.99427086436615,50.00572913563385,0.6292882580219358,737.5982797458682
금천구,1526,1013,305,109,99,50.6416584402764,249906,127313,122593,49.055644922490856,50.944355077509144,0.6106295967283699,233.36323841006902
노원구,1576,707,461,298,110,122.9137199434229,550126,267599,282527,51.356780083108234,48.643219916891766,0.28647982462199567,584.3411050797272
도봉구,899,665,49,102,83,35.18796992481203,334918,163247,171671,51.25762126848961,48.7423787315104,0.2684239127189342,973.9064080900403
동대문구,1555,1075,111,233,136,44.651162790697676,356908,177163,179745,50.36171786566847,49.63828213433153,0.43568650744729737,347.27654761460826
동작구,1792,1122,103,314,253,59.71479500891266,405577,198660,206917,51.017932476447136,48.982067523552864,0.44183965067052616,175.2795180794194
마포구,1743,903,164,334,342,93.02325581395348,369475,176075,193400,52.34454293253942,47.65545706746059,0.47175045672914273,176.06120170306872
서대문구,2705,1922,109,266,408,40.738813735691984,317164,151425,165739,52.256561274293425,47.743438725706575,0.8528710698566042,855.806072906739
서초구,1868,492,624,474,278,279.6747967479675,416065,199154,216911,52.1339213824763,47.866078617523705,0.4489683102399865,113.28743182810831
성동구,2554,2112,98,39,305,20.928030303030305,301263,148726,152537,50.63250382556106,49.36749617443895,0.84776424585827,726.0436622009706
성북구,2221,1363,263,357,238,62.94937637564196,444307,215115,229192,51.58415239912944,48.41584760087057,0.4998795877625155,201.9921734264235
송파구,1203,889,124,88,102,35.32058492688414,631416,306456,324960,51.46527804173476,48.53472195826523,0.19052415523204985,1065.9131215395782
양천구,2498,1865,178,338,117,33.94101876675603,455010,224204,230806,50.72547856091075,49.274521439089256,0.5489989231005912,464.6971027883401
영등포구,1839,1071,209,248,311,71.70868347338936,395404,198098,197306,49.89984926809036,50.10015073190964,0.4650939292470486,114.69232256402938
용산구,2379,2168,76,77,58,9.732472324723247,221724,107312,114412,51.60108964297956,48.39891035702044,1.0729555663798236,657.2770195290566
은평구,2505,1694,210,358,243,47.874852420306965,468106,226950,241156,51.51739136007656,48.482608639923434,0.5351352044195118,454.2059091906258
종로구,1925,1491,163,129,142,29.107981220657276,160098,78658,81440,50.86884283376432,49.13115716623568,1.2023885370210745,285.5855333235552
중구,1260,826,191,123,120,52.54237288135594,126104,61645,64459,51.11574573368014,48.884254266319864,0.99917528389266,334.0116234295979
중랑구,1053,815,102,75,61,29.20245398773006,399438,197833,201605,50.47216338956233,49.52783661043767,0.26362038664323373,906.0801871771309
